calendarDate,vo2MaxValue,maxMet
2023-11-25,53.0,15.095611572265625
2023-11-26,53.0,15.095611572265625
2023-11-27,53.0,15.095611572265625
2023-11-28,52.0,14.978057861328125
2023-11-29,53.0,15.179519653320312
2023-11-30,53.0,15.179519653320312
2023-12-01,53.0,15.105621337890625
2023-12-02,52.0,14.855361938476562
2023-12-03,52.0,14.855361938476562
2023-12-04,53.0,15.132064819335938
2023-12-05,54.0,15.315704345703125
2023-12-06,54.0,15.534912109375
2023-12-07,52.0,14.922332763671875
2023-12-08,52.0,14.891311645507812
2023-12-09,52.0,14.891311645507812
2023-12-10,52.0,14.891311645507812
2023-12-11,52.0,14.891311645507812
2023-12-12,52.0,14.891311645507812
2023-12-13,52.0,14.804412841796875
2023-12-14,52.0,14.804412841796875
2023-12-15,52.0,14.804412841796875
2023-12-16,52.0,14.804412841796875
2023-12-17,52.0,14.804412841796875
2023-12-18,52.0,14.985061645507812
2023-12-19,52.0,14.985061645507812
2023-12-20,52.0,14.816574096679688
2023-12-21,52.0,14.790740966796875
2023-12-22,52.0,14.790740966796875
2023-12-23,52.0,14.790740966796875
2023-12-24,52.0,14.790740966796875
2023-12-25,52.0,14.790740966796875
2023-12-26,52.0,14.790740966796875
2023-12-27,52.0,14.748260498046875
2023-12-28,52.0,14.748260498046875
2023-12-29,52.0,14.748260498046875
2023-12-30,52.0,14.748260498046875
2023-12-31,52.0,14.748260498046875
2024-01-01,51.0,14.596237182617188
2024-01-02,51.0,14.596237182617188
2024-01-03,51.0,14.596237182617188
2024-01-04,51.0,14.645248413085938
2024-01-05,50.0,14.3154296875
2024-01-06,50.0,14.3154296875
2024-01-07,50.0,14.3154296875
2024-01-08,50.0,14.3154296875
2024-01-09,50.0,14.3154296875
2024-01-10,50.0,14.353485107421875
2024-01-11,50.0,14.378189086914062
2024-01-12,50.0,14.418777465820312
2024-01-13,51.0,14.567184448242188
2024-01-14,51.0,14.567184448242188
2024-01-15,51.0,14.567184448242188
2024-01-16,51.0,14.567184448242188
2024-01-17,51.0,14.567184448242188
2024-01-18,51.0,14.567184448242188
2024-01-19,51.0,14.567184448242188
2024-01-20,51.0,14.567184448242188
2024-01-21,51.0,14.567184448242188
2024-01-22,51.0,14.567184448242188
2024-01-23,51.0,14.567184448242188
2024-01-24,51.0,14.567184448242188
2024-01-25,51.0,14.567184448242188
2024-01-26,51.0,14.567184448242188
2024-01-27,51.0,14.567184448242188
2024-01-28,51.0,14.567184448242188
2024-01-29,51.0,14.567184448242188
2024-01-30,51.0,14.567184448242188
2024-01-31,51.0,14.567184448242188
2024-02-01,51.0,14.567184448242188
2024-02-02,51.0,14.567184448242188
2024-02-03,51.0,14.567184448242188
2024-02-04,51.0,14.567184448242188
2024-02-05,51.0,14.567184448242188
2024-02-06,51.0,14.567184448242188
2024-02-07,51.0,14.567184448242188
2024-02-08,51.0,14.567184448242188
2024-02-09,51.0,14.567184448242188
2024-02-10,51.0,14.567184448242188
2024-02-11,51.0,14.567184448242188
2024-02-12,51.0,14.567184448242188
2024-02-13,51.0,14.561630249023438
2024-02-14,51.0,14.537673950195312
2024-02-15,51.0,14.513214111328125
2024-02-16,51.0,14.453628540039062
2024-02-17,51.0,14.453628540039062
2024-02-18,51.0,14.453628540039062
2024-02-19,51.0,14.453628540039062
2024-02-20,51.0,14.531570434570312
2024-02-21,51.0,14.5906982421875
2024-02-22,51.0,14.607284545898438
2024-02-23,51.0,14.607284545898438
2024-02-24,51.0,14.607284545898438
2024-02-25,51.0,14.51776123046875
2024-02-26,51.0,14.52801513671875
2024-02-27,51.0,14.52801513671875
2024-02-28,51.0,14.52801513671875
2024-02-29,51.0,14.52801513671875
2024-03-01,51.0,14.52801513671875
2024-03-02,51.0,14.52801513671875
2024-03-03,51.0,14.52801513671875
2024-03-04,51.0,14.523483276367188
2024-03-05,51.0,14.495346069335938
2024-03-06,51.0,14.500045776367188
2024-03-07,51.0,14.5194091796875
2024-03-08,51.0,14.5194091796875
2024-03-09,51.0,14.5194091796875
2024-03-10,51.0,14.531280517578125
2024-03-11,51.0,14.528945922851562
2024-03-12,51.0,14.5364990234375
2024-03-13,51.0,14.538055419921875
2024-03-14,52.0,14.724502563476562
2024-03-15,52.0,14.724502563476562
2024-03-16,52.0,14.724502563476562
2024-03-17,52.0,14.724502563476562
2024-03-18,52.0,14.724502563476562
2024-03-19,52.0,14.724502563476562
2024-03-20,52.0,14.724502563476562
2024-03-21,52.0,14.724502563476562
2024-03-22,52.0,14.724502563476562
2024-03-23,52.0,14.724502563476562
2024-03-24,52.0,14.724502563476562
2024-03-25,52.0,14.724502563476562
2024-03-26,52.0,14.724502563476562
2024-03-27,52.0,14.724502563476562
2024-03-28,52.0,14.724502563476562
2024-03-29,52.0,14.724502563476562
2024-03-30,52.0,14.724502563476562
2024-03-31,52.0,14.724502563476562
2024-04-01,52.0,14.724502563476562
2024-04-02,52.0,14.724502563476562
2024-04-03,52.0,14.724502563476562
2024-04-04,52.0,14.724502563476562
2024-04-05,52.0,14.724502563476562
2024-04-06,52.0,14.724502563476562
2024-04-07,52.0,14.724502563476562
2024-04-08,52.0,14.724502563476562
2024-04-09,52.0,14.724502563476562
2024-04-10,52.0,14.866058349609375
2024-04-11,53.0,15.031021118164062
2024-04-12,53.0,15.031021118164062
2024-04-13,53.0,15.031021118164062
2024-04-14,53.0,15.031021118164062
2024-04-15,53.0,15.0999755859375
2024-04-16,53.0,15.0999755859375
2024-04-17,53.0,15.094161987304688
2024-04-18,53.0,15.094161987304688
