Activity_Type,Date,Month_Numeric,Month,Year,Week_of_Year,Title,Distance,Distance_Group,DistanceGroupId,Calories,Time,Weekly_Cumulative_Mins,Weekly_Mins_Prior_to_Run,Monthly_Cumulative_Mins,Monthly_Mins_Prior_to_Run,Avg_HR,Max_HR,Aerobic_TE,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Avg_Vertical_Ratio,Avg_Vertical_Oscillation,Avg_Ground_Contact_Time,Normalized_Power_NP,Avg_Power,Max_Power,Steps,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Idle_Time
Running,2024-07-23,7,Jul,2024,30,Charlotte Running,3.02,3-5 miles,2,352,00:26:53,01:48:41,81.8,03:18:55,172.03,153,176,3.0,175,180,00:08:55,00:07:04,240,233,1.02,8.3,8.5,251,326,317,442,"4,714",00:26:52,00:26:53,665,767,00:00:01
Running,2024-07-21,7,Jul,2024,29,Mt Pleasant Running,4.01,3-5 miles,2,427,00:29:46,00:29:46,0.0,03:48:41,198.92,163,191,3.7,183,194,00:07:26,00:05:58,3,7,1.18,7.3,8.5,228,367,360,453,"5,430",00:29:41,00:29:46,9,14,00:00:05
Running,2024-07-17,7,Jul,2024,29,Charlotte Running,6.01,5-7 miles,3,736,00:52:07,01:21:53,29.77,04:40:48,228.68,166,179,4.1,178,187,00:08:41,00:06:33,203,203,1.04,8.0,8.3,244,324,319,449,"9,260",00:51:50,00:52:07,715,776,00:00:17
Running,2024-07-16,7,Jul,2024,29,Charlotte Running,3.02,3-5 miles,2,344,00:25:34,01:47:27,81.88,05:06:22,280.8,155,173,3.1,182,190,00:08:28,00:07:21,230,226,1.04,7.8,8.1,240,339,329,484,"4,634",00:25:29,00:25:34,665,766,00:00:05
Running,2024-07-14,7,Jul,2024,28,Margate City Running,7.01,7-10 miles,4,840,01:01:37,01:01:37,0.0,06:07:59,306.37,162,170,4.0,179,188,00:08:48,00:07:05,13,10,1.02,8.1,8.2,245,308,306,379,"11,016",01:01:30,01:01:37,14,28,00:00:07
Running,2024-07-11,7,Jul,2024,28,Margate City Running,3.01,3-5 miles,2,364,00:29:46,01:31:23,61.62,06:37:45,367.98,149,156,2.7,172,177,00:09:54,00:07:19,7,3,0.95,8.9,8.4,262,277,275,400,"5,116",00:29:40,00:29:46,16,28,00:00:06
Running,2024-07-10,7,Jul,2024,28,Charlotte Running,5.01,5-7 miles,3,612,00:43:20,02:14:43,91.38,07:21:05,397.75,163,180,3.8,173,186,00:08:39,00:05:59,236,302,1.08,8.1,8.7,247,335,328,510,"7,530",00:43:04,00:43:20,669,787,00:00:16
Running,2024-07-09,7,Jul,2024,28,Charlotte Running,3.01,3-5 miles,2,326,00:21:09,02:35:52,134.72,07:42:14,441.08,173,189,3.5,181,194,00:07:02,00:05:55,217,203,1.26,7.1,8.9,225,415,400,596,"3,816",00:21:06,00:21:09,670,770,00:00:03
Running,2024-07-06,7,Jul,2024,27,Mt Pleasant Running,10.01,10-13 miles,5,"1,215",01:30:31,01:30:31,0.0,09:12:45,462.23,161,176,4.1,175,184,00:09:03,00:06:59,23,20,1.01,8.4,8.5,253,310,308,419,"15,864",01:30:28,01:30:31,9,24,00:00:03
Running,2024-07-04,7,Jul,2024,27,Mt Pleasant Running,3.01,3-5 miles,2,347,00:23:25,01:53:56,90.52,09:36:10,552.75,170,187,3.4,177,187,00:07:47,00:06:45,--,10,1.16,7.6,8.8,237,356,350,409,"4,152",00:23:17,00:23:25,18,33,00:00:08
Running,2024-07-03,7,Jul,2024,27,Charlotte Running,5.04,5-7 miles,3,620,00:42:58,02:36:54,113.93,10:19:08,576.17,163,183,3.9,174,187,00:08:32,00:03:51,213,256,1.09,8.0,8.7,246,338,329,708,"7,466",00:42:36,00:42:58,669,778,00:00:22
Running,2024-07-02,7,Jul,2024,27,Charlotte Running,3.03,3-5 miles,2,348,00:26:03,03:02:57,156.9,10:45:11,619.13,150,171,3.0,176,184,00:08:35,00:06:58,259,243,1.06,8.1,8.6,248,345,333,492,"4,584",00:25:59,00:26:03,671,776,00:00:04
Running,2024-06-27,6,Jun,2024,26,Charlotte Running,3.02,3-5 miles,2,377,00:27:28,00:27:28,0.0,00:27:28,0.0,152,166,3.1,171,183,00:09:06,00:05:09,128,118,1.06,8.1,8.5,247,324,314,514,"4,722",00:26:50,00:27:28,706,770,00:00:38
Running,2024-06-26,6,Jun,2024,26,Charlotte Running,4.01,3-5 miles,2,474,00:32:47,01:00:15,27.47,01:00:15,27.47,165,180,3.6,173,243,00:08:11,00:05:18,154,207,1.14,7.8,8.9,243,349,341,568,"5,712",00:32:40,00:32:47,678,775,00:00:07
Running,2024-06-25,6,Jun,2024,26,Charlotte Running,3.01,3-5 miles,2,328,00:23:27,01:23:42,60.25,01:23:42,60.25,156,176,3.2,181,192,00:07:48,00:05:56,240,236,1.13,7.6,8.5,234,373,362,509,"4,240",00:23:19,00:23:27,675,777,00:00:08
Running,2024-06-22,6,Jun,2024,25,Charlotte Running,5.0,5-7 miles,3,581,00:43:31,00:43:31,0.0,02:07:13,83.7,150,168,3.4,173,236,00:08:42,00:05:04,203,197,1.08,8.2,8.8,249,335,328,572,"7,538",00:43:19,00:43:31,734,790,00:00:12
Running,2024-06-20,6,Jun,2024,25,Charlotte Running,3.0,3-5 miles,2,342,00:25:27,01:08:58,43.52,02:32:40,127.22,154,171,3.1,176,184,00:08:28,00:06:43,220,220,1.07,8.0,8.6,246,345,333,479,"4,496",00:25:26,00:25:27,667,770,00:00:01
Running,2024-06-19,6,Jun,2024,25,Charlotte Running,4.01,3-5 miles,2,467,00:34:19,01:43:17,68.97,03:06:59,152.67,155,176,3.3,177,186,00:08:34,00:07:18,289,305,1.05,8.0,8.5,246,341,331,479,"6,082",00:34:18,00:34:19,664,767,00:00:01
